127.0.0.1 - - [22/Apr/2026 02:12:57] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [22/Apr/2026 02:14:27] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [22/Apr/2026 02:14:27] "GET /main.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Apr/2026 02:14:27] "GET /worker.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Apr/2026 02:14:27] code 404, message File not found
127.0.0.1 - - [22/Apr/2026 02:14:27] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [22/Apr/2026 02:14:27] "GET /pkg/fhe_wasm_spike.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Apr/2026 02:14:27] "GET /pkg/fhe_wasm_spike_bg.wasm HTTP/1.1" 200 -
127.0.0.1 - - [22/Apr/2026 02:14:45] "GET /pkg/fhe_wasm_spike.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2026 02:14:45] "GET /pkg/fhe_wasm_spike_bg.wasm HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2026 02:16:36] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2026 02:16:36] "GET /main.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2026 02:16:36] "GET /worker.js HTTP/1.1" 304 -
127.0.0.1 - - [22/Apr/2026 02:16:36] "GET /pkg/fhe_wasm_spike.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Apr/2026 02:16:36] "GET /pkg/fhe_wasm_spike_bg.wasm HTTP/1.1" 200 -
